job_title,location,company,salary,rating,summary
Business Intelligence (BI) Analyst - eero/Amazon,"San Francisco, CA 94105 (South Beach area)",eero,,4.5,"3+ years of work experience in a similar business intelligence, data analytics role. Become the go-to person if our partners have any questions or issues with…"
Business Analyst (Remote),"San Francisco, CA","Primary Diagnostics, Inc",,,Conduct and document complex business analysis projects. Experience translating complex business problems into analytical models.
Business Operations Analyst,"San Francisco, CA 94105 (South Beach area)",Accenture,,4.0,"Bachelor’s degree in engineering, supply chain management or any closely related technical or analytical field. Oral and written fluency in English."
Data Engineer,"San Francisco, CA 94103 (South Of Market area)",ProFocus,"$140,000 a year",,"Have proven experience deploying data infrastructure. Bachelor’s degree in Computer Science, Data Science, or Information Systems or demonstrate equivalent…"
Business Analyst (SE),"San Francisco, CA 94131 (Noe Valley area)",Facebook,,4.2,"3+ years of work experience involving analytical rigor as typically seen in, but not restricted to, functions like finance, business operations, etc. or…"
Business Systems Analyst (BSA),"San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,Bachelor’s degree or industry equivalent. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement…
Payment Services - Business Analyst,,eBay Inc.,,3.9,"Craft business cases to inform business requirements. Education related to marketing and data analysis, business case creation, and optimization opportunity…"
Lead Data Analyst,,Chinese Community Health Plan (CCHP),,,"At least 2 years of experience as a senior or lead programmer or analyst, guiding other staff on how to best implement solutions."
Clinical Data Programmer/Analyst,,Quantum Leap Healthcare,,,"Support data migration activities including data cleaning and adjudication processes. Implement data standards within a function, or therapeutic area in…"
Behavior Therapist,,"Roman Empire Living Skills, Inc",$20 an hour,,Provide data collection according to Functional Behavior Assessment. Pass Criminal Background Check (No Misdemeanors or Felonies).
Energy Analyst/Energy Engineer,,"Association For Energy Affordability, Inc.",,,"The Energy Analyst engages in data collection, building diagnostics, research, data analysis, job costing and construction feasibility, energy modeling, and…"
Behavior therapist / Registered Behavior Technician *ASL Speaking Preferred,,Positive Behavior Supports Corporation (PBS),$17 - $24 an hour,3.8,High school or equivalent (Required). Communicate openly with behavior analysts and regional coordinator. Proof of annual or required updated training shall be…
Software Architect,,SafeinHome,"$120,000 - $160,000 a year",4.3,"Deep knowledge of database data model and schema design. Bachelor’s Degree or higher in a Computer Science, Electrical Engineering, or an equivalent STEM area."
Protective Intelligence Analyst - San Francisco or D.C.,,Sibylline Americas Inc.,,,Or relevant work experience of 2+ years in a intelligence or security related analytical position. Demonstrable proficiency in working with data and data…
Scientist/Research Associate - Lipid Nanoparticles,,DNAlite Therapeutics,"From $70,000 a year",,"Sanitizing, disinfecting, or cleaning procedures in place. Design and formulate lipid nanoparticles. Work with management and team on coordinating materials and…"
Data Scientist,"San Mateo, CA 94401 (Central Business District area)",Photomath,"$160,000 - $170,000 a year",,"Advanced knowledge of one or more of other mainstream data analytics and data science languages and packages: R, Matlab, etc. San Mateo, CA 94401 (Required)."
"Data Analyst, Marketing","San Francisco, CA 94103 (South of Market area)",Pinterest,,4.2,"Experience building large scale data sets in AWS, Hadoop or similar big data environments. 6+ years of experience analyzing data in a fast-paced, data-driven…"
Senior Business Intelligence Analyst,"San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,Develop advanced data visualizations using best practices to effectively solve business problems. Work with the Finance team and to research and provide data…
"Data Product Engineer, Revenue Science","San Francisco, CA 94103 (South of Market area)",Twitter,,4.1,"Experience with large-scale data warehousing architecture and data modeling. Experience with Druid or Apache Flink. Proficiency with Java, Scala, or Python."
Data Engineer-USC/GC/GC-EAD/H4-EAD/L2-EAD,"San Francisco, CA",Neoiteksys,$60 - $65 an hour,,Excellent communication skills and experience working with business and data science teams to assess their data needs. Note : Python and SQL Need to be strong*.
Business Operations Analyst,"San Francisco, CA",Lob,,,Extremely resourceful when it comes to researching and gathering data to make informed business decisions around products and features.
Sr Business Data Analyst (Visualization Analyst),"San Francisco, CA",Kinesso,,,"Progressive work experience creating visualizations in Tableau or similar data visualization software. Extract and prepare data to be used in reports in Excel,…"
Data Analyst,"San Francisco Bay Area, CA",Beshton Software,,,"Identify trends in financial data and risk factors for businesses, process large amounts of collected data and make use of increased data points to increase…"
Business Data Analyst,"San Francisco, CA",Ameritech Global(ATGTECH),,,Drive resolution of business or systems issues. Analyze business scenarios that may potentially be solved by implementation of automated systems and/or…
Business Analyst,"San Francisco, CA",Atmosphere TV,,,"1-2 years' experience in data engineering, business analysis, or operations. Creating custom data tables from various data sets. Python knowledge is a plus."
Business Analyst - Healthcare Analytics,"San Francisco, CA 94105 (Financial District area)",San Francisco Health Plan,,3.6,"Leverage your in-depth knowledge of managed care principals, analysis concepts, and health care data to support our critical business needs."
"Technical Program Manager, Business Intelligence, Google Data Centers","San Francisco, CA",Google,,4.3,"Lead the delivery, implementation and business adoption of new scalable and reliable business intelligence solutions for cross-department leadership and…"
Equity Research Analyst,"San Francisco, CA (Financial District area)",Evalueserve,,3.6,"CPA or CFA certification or interest in being certified. Knowledge of database tools – Bloomberg, Reuters and other financial data systems."
Research Analyst,"San Francisco, CA 94104 (Financial District area)","Evolver, LLC.",,3.9,"Attending meetings with senior management teams and sell-side analysts. Actively persuing a degree in Finance, Computer Science or related degree."
Equity Research - Software - Analyst,"San Francisco, CA","JPMorgan Chase Bank, N.A.",,3.9,"1-3 years of experience in research, investment banking, or accounting; strong knowledge of accounting principles and financial modeling."
Data Engineer,"San Francisco, CA 94111 (Financial District area)",First Republic Bank,,3.9,"Background in data science, analytics, or data mining. Bachelors or Master degree in information technology, computer science or data science."
Data Analyst -,"San Francisco, CA","Accolite, Inc.",,, Identify and document gaps in data or data models.  4+ years data analyst role.  Receives conceptual data flow from data architect as input to developing…
Statistician / Data Analyst,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,,4.2,"Bachelor’s degree in Statistics or Biostatistics with 3 or more years of relevant experience in clinical trials work, or other related area and/or equivalent…"
"Software Engineer, Data","San Francisco, CA 94111 (Financial District area)",Sentry,,3.9,"You enjoy surfacing trends and business insights during data. We own the data pipelines that brings data together from different sources and help business,…"
Data Engineer,"San Francisco, CA",Fast AF,,,"Work directly with DS scientists/engineers to implement robust and reusable data models. Interface with engineers, product managers and machine learning…"
Salesforce Business Analyst (Contract),"San Francisco, CA 94103 (South of Market area)",Pinterest,,4.2,"Strong analytical skills; experience breaking down ambiguous data problems to deliver insights. When a finalist has been selected, ProUnlimited or the agency…"
Functional Data Analyst,"San Francisco, CA 94104 (Financial District area)",Publicis Sapient,,3.9,"Researching and documenting existing legacy application process and data flows, business needs and data models. Min of 8+ yr. experience with Data Analysis."
Hospital Business Administrator,"San Francisco, CA 94115 (Western Addition area)",San Francisco SPCA,,4.1,Effective and collaborative interpersonal and written communication skills with high emotional intelligence. This newly created Hospital Business Administrator…
Data Scientist Intern - US,"Redwood City, CA",MOLOCO,,,Experience in SQL or other data analytics language preferred. Data curation: integrating data from different sources including the first party mobile app data…
Vitria Data Scientist,"Menlo Park, CA 94025 (Lorelei Manor area)",Vitria Technology,,3.3,Proven data science or data analysis experience. Ability to understand business objectives and collaborate on data centric solutions to common operational…
Data Analyst,"San Francisco, CA",ThirdLove,,4.1,"Develop data models, build dashboards and create data products to monitor business performance and enable self-serve insights at scale."
"Data Engineer, Marketing","San Francisco, CA",Square,,3.6,"Looker, or other data visualizations technologies. Experience working with business teams on complex problems and can translate them to efficient, scalable and…"
MySQL Database Engineer,,Salesforce,,4.3,Ability to understand SQL queries to help optimize traffic to the database layer and resolve malformed data requests. Participate and support on-call rotation.
Data Analyst,"Redwood City, CA",NimbleRx,,3.2,"At least 2 years of data science, business intelligence / consulting / investment banking or related experience. Strong querying experience and/or knowledge."
Data Scientist,"San Francisco, CA",Tubi,,,Uncover insights to ensure data-driven decision making. Experience with product analytics and working with event-data. 2-4 years experience in a similar role.
Database Administrator,,CyberCoders,"From $160,000 a year",3.3,Addressing daily data integrity issues. Experience managing a complex database infrastructure. Experience managing an ever increasing database scale while…
Business Analyst,,Robert Half,$28.50 - $33.00 an hour,3.9,"Firm understanding of problem solving through statistical analysis or with large data sets highly preferable (such as in derivatives, structured finance, or…"
Data Scientist,"San Francisco, CA",6sense,,,"Lead the way in leveraging unstructured data for predictive modeling and decision-making. Our models inform smart email campaigns, website personalization, ad…"
